recipient_name,recipient_party,amount
Arthur Henry Lieber (D),D,30.0
Barbara Hamill Stocker (D),D,58.4
Bill Hedge (D),D,29.0
Emanuel Cleaver (D),D,225.1
Jack Rushin (D),D,3.0
James S. Evans (D),D,75.2
Nate Irvin (D),D,2.6
Russ Carnahan (D),D,5.0
Steve Hodges (D),D,38.8
Todd Mahn (D),D,5.0
William L. Clay Jr (D),D,137.0
